id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
3408,USDC,USDC,usd-coin,21075,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34119133671.382397,34119133671.382397,False,,6,,,,2024-07-20T22:31:00.000Z,0.9999595499797592,3894310838.7942157,-47.9283,-0.00465821,-0.00524819,-0.01407828,-0.02473018,-0.01537504,-0.01318625,34117753551.73479,1.3946,34117753551.73,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-21 01:33:29.603118
52,XRP,XRP,xrp,1355,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55909481874.0,99987431729.0,False,,7,,,,2024-07-20T22:32:00.000Z,0.596295615309665,1557596658.4619257,-32.8597,0.6825853,3.60276451,12.68931125,21.84960998,11.34168817,13.29671952,33338578895.701393,1.3629,59629561530.97,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:29.603118
74,Dogecoin,DOGE,dogecoin,1025,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145198436383.70523,145198436383.70523,True,,8,,,,2024-07-20T22:32:00.000Z,0.1342724412697088,1108539889.0543334,55.872,0.28111931,7.11798723,20.66197111,7.90849658,-20.15624374,-15.42515515,19496148521.78461,0.797,19496148521.78,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:29.603118
11419,Toncoin,TON,toncoin,466,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2514790901.1544957,5109277595.225424,True,,9,3414166606.0,24864968566.343773,,2024-07-20T22:31:00.000Z,7.282880842032281,138746911.25921518,-29.8462,0.04930291,-0.13769554,0.03269721,1.62412742,14.92347221,18.45922496,18314922475.735172,0.7487,37210259914.89,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:29.603118
2010,Cardano,ADA,cardano,1214,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35889906639.389,37062184769.149,False,,10,,,,2024-07-20T22:31:00.000Z,0.4376480601831675,251025859.00011736,-26.3,0.38705632,-0.49029946,-0.32284557,13.58553761,-11.37311171,-12.76305241,15707148020.88358,0.6421,19694162708.24,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:29.603118
1958,TRON,TRX,tron,1001,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87089141743.13487,87089149669.95306,True,,11,71659659264.0,9649187637.425539,,2024-07-20T22:31:00.000Z,0.1346529935605352,230150408.62395814,-23.4038,0.11954271,0.03066719,-4.0258345,15.29210665,8.95769932,20.86569019,11726813642.330877,0.4794,11726814709.7,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:29.603118
5805,Avalanche,AVAX,avalanche,754,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394753425.20547134,444099795.20547134,False,,12,,,,2024-07-20T22:31:00.000Z,29.059208597822362,241768445.4886356,-28.1061,1.07248525,3.0943592,13.53170792,5.03644777,-29.45084211,-21.88586274,11471222127.75066,0.4689,20799091329.05,,2024-07-20T22:31:00.000Z,,,,,,2024-07-21 01:33:29.603118
5994,Shiba Inu,SHIB,shiba-inu,847,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270679731197.0,589519188836789.6,False,,13,,,,2024-07-20T22:31:00.000Z,1.815255107568366e-05,437058001.03538173,-27.2663,0.37374611,1.49371002,7.24394101,0.13054339,-28.97007723,-31.11865202,10696766111.223381,0.4373,10701277185.46,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-21 01:33:29.603118
6636,Polkadot,DOT,polkadot-new,794,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1471278872.153183,9321537704.725746,,2024-07-20T22:32:00.000Z,6.335670199004413,116050263.41590014,-30.9116,0.24240953,0.05711847,2.07714054,11.76170497,-16.73402467,-11.42642627,9110398702.675352,0.3724,9110398702.68,,2024-07-20T22:32:00.000Z,,,,,,2024-07-21 01:33:29.603118
1975,Chainlink,LINK,chainlink,1818,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-20T22:31:00.000Z,14.289887898516092,225946373.85690278,-26.211,0.35742885,1.74269497,10.65760009,-0.20013105,-14.22444099,-4.2733879,8689680408.861269,0.3552,14289887898.52,,2024-07-20T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-21 01:33:29.603118
